profile_name,start_time,duration,attributes,title,supplemental_video_type,device_type,bookmark,latest_bookmark,country,tv_show_name,tv_show_season,tv_show_episode,content_type,duration_hours,content_title
Michael,2019-05-31,0 years 0 mons 0 days 0 hours 4 mins 36.0 secs,Autoplayed: user action: Unspecified; ,ROMA,,Samsung 2015 Hawk-M UHD TV(no FRC) Smart TV,0:14:05,0:14:05,IL (Israel),,,,Movie,0.07666666666666666667,ROMA
Michael,2022-01-26,0 years 0 mons 0 days 0 hours 1 mins 45.0 secs,,Brooklyn Nine-Nine: Season 2: AC/DC (Episode 20),,Apple iPhone XS,0:02:04,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, AC/DC (Episode 20),TV Show,0.02916666666666666667,Brooklyn Nine-Nine
Michael,2022-06-12,0 years 0 mons 0 days 0 hours 18 mins 10.0 secs,,Sex Education: Season 3: Episode 7,,Apple iPhone 13,0:24:50,Not latest view,IL (Israel),Sex Education, Season 3, Episode 7,TV Show,0.30277777777777777778,Sex Education
ilona,2022-10-02,0 years 0 mons 0 days 1 hours 41 mins 16.0 secs,,Saving Private Ryan,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2:06:15,Not latest view,IL (Israel),,,,Movie,1.6877777777777778,Saving Private Ryan
Michael,2022-01-26,0 years 0 mons 0 days 0 hours 3 mins 29.0 secs,,Brooklyn Nine-Nine: Season 2: Sabotage (Episode 19),,Apple iPhone XS,0:21:07,0:21:07,IL (Israel),Brooklyn Nine-Nine, Season 2, Sabotage (Episode 19),TV Show,0.05805555555555555556,Brooklyn Nine-Nine
Michael,2022-01-24,0 years 0 mons 0 days 0 hours 5 mins 1.0 secs,,Brooklyn Nine-Nine: Season 2: Boyle-Linetti Wedding (Episode 17),,Apple iPhone XS,0:21:44,0:21:44,IL (Israel),Brooklyn Nine-Nine, Season 2, Boyle-Linetti Wedding (Episode 17),TV Show,0.08361111111111111111,Brooklyn Nine-Nine
Michael,2022-01-23,0 years 0 mons 0 days 0 hours 12 mins 51.0 secs,,Brooklyn Nine-Nine: Season 2: Boyle-Linetti Wedding (Episode 17),,Apple iPhone XS,0:15:52,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Boyle-Linetti Wedding (Episode 17),TV Show,0.21416666666666666667,Brooklyn Nine-Nine
ilona,2022-08-27,0 years 0 mons 0 days 0 hours 49 mins 52.0 secs,,Me Time,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:49:54,0:49:54,IL (Israel),,,,Movie,0.83111111111111111111,Me Time
Michael,2022-10-06,0 years 0 mons 0 days 0 hours 9 mins 41.0 secs,,Never Have I Ever: Season 2: ... betrayed a friend (Episode 6),,Apple iPhone 13,0:25:18,0:25:18,IL (Israel),Never Have I Ever, Season 2, ,TV Show,0.16138888888888888889,Never Have I Ever
ilona,2022-08-08,0 years 0 mons 0 days 0 hours 0 mins 2.0 secs,Autoplayed: user action: None; ,Lockdown,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:00:02,Not latest view,IL (Israel),,,,Movie,0.00055555555555555556,Lockdown
Michael,2022-01-22,0 years 0 mons 0 days 0 hours 3 mins 57.0 secs,,Brooklyn Nine-Nine: Season 2: The Wednesday Incident (Episode 16),,Apple iPhone XS,0:04:12,0:04:12,IL (Israel),Brooklyn Nine-Nine, Season 2, The Wednesday Incident (Episode 16),TV Show,0.06583333333333333333,Brooklyn Nine-Nine
Michael,2022-01-22,0 years 0 mons 0 days 0 hours 6 mins 25.0 secs,,Brooklyn Nine-Nine: Season 2: Windbreaker City (Episode 15),,Apple iPhone XS,0:00:25,0:00:25,IL (Israel),Brooklyn Nine-Nine, Season 2, Windbreaker City (Episode 15),TV Show,0.10694444444444444444,Brooklyn Nine-Nine
Michael,2019-11-15,0 years 0 mons 0 days 0 hours 9 mins 20.0 secs,,Money Heist: Part 3: We're Back (Episode 1),,Apple iPhone XS,0:10:11,Not latest view,IL (Israel),Money Heist, Part 3, We're Back (Episode 1),TV Show,0.15555555555555555556,Money Heist
Michael,2022-01-21,0 years 0 mons 0 days 0 hours 8 mins 31.0 secs,,Brooklyn Nine-Nine: Season 2: Windbreaker City (Episode 15),,Apple iPhone XS,0:14:42,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Windbreaker City (Episode 15),TV Show,0.14194444444444444444,Brooklyn Nine-Nine
ilona,2021-12-24,0 years 0 mons 0 days 0 hours 19 mins 49.0 secs,Autoplayed: user action: User_Interaction; ,Spider-Man,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:21:11,Not latest view,IL (Israel),,,,Movie,0.33027777777777777778,Spider-Man
Michael,2022-01-21,0 years 0 mons 0 days 0 hours 5 mins 0.0 secs,,Brooklyn Nine-Nine: Season 2: Windbreaker City (Episode 15),,Apple iPhone XS,0:04:59,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Windbreaker City (Episode 15),TV Show,0.08333333333333333333,Brooklyn Nine-Nine
ilona,2022-02-05,0 years 0 mons 0 days 0 hours 0 mins 1.0 secs,Autoplayed: user action: None; ,Shrek Forever After,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:00:01,Not latest view,IL (Israel),,,,Movie,0.00027777777777777778,Shrek Forever After
Michael,2022-01-21,0 years 0 mons 0 days 0 hours 3 mins 7.0 secs,,Brooklyn Nine-Nine: Season 2: The Defense Rests (Episode 14),,Apple iPhone XS,0:21:27,0:21:27,IL (Israel),Brooklyn Nine-Nine, Season 2, The Defense Rests (Episode 14),TV Show,0.05194444444444444444,Brooklyn Nine-Nine
Michael,2022-01-20,0 years 0 mons 0 days 0 hours 10 mins 54.0 secs,,Brooklyn Nine-Nine: Season 2: The Defense Rests (Episode 14),,Apple iPhone XS,0:18:09,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, The Defense Rests (Episode 14),TV Show,0.18166666666666666667,Brooklyn Nine-Nine
Michael,2022-01-20,0 years 0 mons 0 days 0 hours 4 mins 19.0 secs,,Brooklyn Nine-Nine: Season 2: The Defense Rests (Episode 14),,Apple iPhone XS,0:04:20,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, The Defense Rests (Episode 14),TV Show,0.07194444444444444444,Brooklyn Nine-Nine
Michael,2022-01-20,0 years 0 mons 0 days 0 hours 20 mins 26.0 secs,,Brooklyn Nine-Nine: Season 2: Payback (Episode 13),,Apple iPhone XS,0:21:41,0:21:41,IL (Israel),Brooklyn Nine-Nine, Season 2, Payback (Episode 13),TV Show,0.34055555555555555556,Brooklyn Nine-Nine
ilona,2021-09-10,0 years 0 mons 0 days 1 hours 50 mins 28.0 secs,Autoplayed: user action: User_Interaction; ,Yesterday,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,1:50:12,1:50:12,IL (Israel),,,,Movie,1.8411111111111111,Yesterday
ilona,2022-09-27,0 years 0 mons 0 days 0 hours 20 mins 46.0 secs,,The Good Place: Season 2: Team Cockroach (Episode 3),,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:21:34,0:21:34,IL (Israel),The Good Place, Season 2, Team Cockroach (Episode 3),TV Show,0.34611111111111111111,The Good Place
Michael,2022-06-10,0 years 0 mons 0 days 0 hours 1 mins 29.0 secs,,Sex Education: Season 1: Episode 7,,Apple iPhone 13,0:03:39,Not latest view,IL (Israel),Sex Education, Season 1, Episode 7,TV Show,0.02472222222222222222,Sex Education
Michael,2022-01-14,0 years 0 mons 0 days 0 hours 0 mins 1.0 secs,,Brooklyn Nine-Nine: Season 2: Payback (Episode 13),,Apple iPhone XS,0:00:03,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Payback (Episode 13),TV Show,0.00027777777777777778,Brooklyn Nine-Nine
Michael,2022-01-14,0 years 0 mons 0 days 0 hours 17 mins 30.0 secs,,Brooklyn Nine-Nine: Season 2: Beach House (Episode 12),,Apple iPhone XS,0:21:42,0:21:42,IL (Israel),Brooklyn Nine-Nine, Season 2, Beach House (Episode 12),TV Show,0.29166666666666666667,Brooklyn Nine-Nine
ilona,2021-10-16,0 years 0 mons 0 days 1 hours 14 mins 24.0 secs,,The Terminal,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,2:01:51,2:01:51,IL (Israel),,,,Movie,1.24,The Terminal
ilona,2021-09-15,0 years 0 mons 0 days 1 hours 11 mins 12.0 secs,,Searching,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,1:37:06,1:37:06,IL (Israel),,,,Movie,1.1866666666666667,Searching
Michael,2022-01-14,0 years 0 mons 0 days 0 hours 1 mins 44.0 secs,,Brooklyn Nine-Nine: Season 2: Stakeout (Episode 11),,Apple iPhone XS,0:01:45,0:01:45,IL (Israel),Brooklyn Nine-Nine, Season 2, Stakeout (Episode 11),TV Show,0.02888888888888888889,Brooklyn Nine-Nine
Michael,2022-01-14,0 years 0 mons 0 days 0 hours 8 mins 0.0 secs,,Brooklyn Nine-Nine: Season 2: The Pontiac Bandit Returns (Episode 10),,Apple iPhone XS,0:21:36,0:21:36,IL (Israel),Brooklyn Nine-Nine, Season 2, The Pontiac Bandit Returns (Episode 10),TV Show,0.13333333333333333333,Brooklyn Nine-Nine
ilona,2021-09-03,0 years 0 mons 0 days 0 hours 0 mins 13.0 secs,Autoplayed: user action: None; ,Polar,,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:00:13,0:00:13,IL (Israel),,,,Movie,0.00361111111111111111,Polar
Michael,2022-01-14,0 years 0 mons 0 days 0 hours 0 mins 42.0 secs,,Manifest: Season 1: Reentry (Episode 2),,Apple iPhone XS,0:19:16,0:19:16,IL (Israel),Manifest, Season 1, Reentry (Episode 2),TV Show,0.01166666666666666667,Manifest
Michael,2022-01-14,0 years 0 mons 0 days 0 hours 12 mins 19.0 secs,,Manifest: Season 1: Reentry (Episode 2),,Apple iPhone XS,0:18:33,Not latest view,IL (Israel),Manifest, Season 1, Reentry (Episode 2),TV Show,0.20527777777777777778,Manifest
ilona,2021-06-25,0 years 0 mons 0 days 0 hours 0 mins 2.0 secs,,Good on Paper,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:02,0:00:02,IL (Israel),,,,Movie,0.00055555555555555556,Good on Paper
ilona,2021-07-15,0 years 0 mons 0 days 0 hours 24 mins 9.0 secs,Autoplayed: user action: User_Interaction; ,Home,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:24:09,Not latest view,IL (Israel),,,,Movie,0.4025,Home
ilona,2022-02-17,0 years 0 mons 0 days 0 hours 1 mins 47.0 secs,,Friends: Season 1: The One with the Butt (Episode 6),,Apple iPhone 11,0:02:27,Not latest view,IL (Israel),Friends, Season 1, The One with the Butt (Episode 6),TV Show,0.02972222222222222222,Friends
ilona,2021-06-11,0 years 0 mons 0 days 0 hours 0 mins 2.0 secs,Autoplayed: user action: None; ,Awake,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:02,Not latest view,IL (Israel),,,,Movie,0.00055555555555555556,Awake
Michael,2022-01-12,0 years 0 mons 0 days 0 hours 7 mins 7.0 secs,,Brooklyn Nine-Nine: Season 2: The Pontiac Bandit Returns (Episode 10),,Apple iPhone XS,0:10:16,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, The Pontiac Bandit Returns (Episode 10),TV Show,0.11861111111111111111,Brooklyn Nine-Nine
Michael,2022-01-10,0 years 0 mons 0 days 0 hours 2 mins 29.0 secs,,Brooklyn Nine-Nine: Season 2: The Pontiac Bandit Returns (Episode 10),,Apple iPhone XS,0:03:09,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, The Pontiac Bandit Returns (Episode 10),TV Show,0.04138888888888888889,Brooklyn Nine-Nine
ilona,2021-09-22,0 years 0 mons 0 days 0 hours 0 mins 36.0 secs,,Modern Family: Season 7: Double-Click (Episode 22),,Samsung CE 2021 Nike-M2 UHD TV Smart TV,0:21:35,0:21:35,IL (Israel),Modern Family, Season 7, Double-Click (Episode 22),TV Show,0.01,Modern Family
ilona,2021-04-16,0 years 0 mons 0 days 0 hours 59 mins 25.0 secs,Autoplayed: user action: User_Interaction; ,Jack and Jill,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,1:12:11,Not latest view,IL (Israel),,,,Movie,0.99027777777777777778,Jack and Jill
ilona,2020-11-14,0 years 0 mons 0 days 1 hours 50 mins 13.0 secs,Autoplayed: user action: Unspecified; ,Escape from Alcatraz,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,1:49:44,1:49:44,IL (Israel),,,,Movie,1.8369444444444444,Escape from Alcatraz
Michael,2022-01-10,0 years 0 mons 0 days 0 hours 17 mins 35.0 secs,,Brooklyn Nine-Nine: Season 2: The Road Trip (Episode 9),,Apple iPhone XS,0:21:39,0:21:39,IL (Israel),Brooklyn Nine-Nine, Season 2, The Road Trip (Episode 9),TV Show,0.29305555555555555556,Brooklyn Nine-Nine
Michael,2022-01-10,0 years 0 mons 0 days 0 hours 5 mins 27.0 secs,,Brooklyn Nine-Nine: Season 2: USPIS (Episode 8),,Apple iPhone XS,0:21:29,0:21:29,IL (Israel),Brooklyn Nine-Nine, Season 2, USPIS (Episode 8),TV Show,0.09083333333333333333,Brooklyn Nine-Nine
Michael,2022-01-07,0 years 0 mons 0 days 0 hours 5 mins 52.0 secs,,Brooklyn Nine-Nine: Season 2: USPIS (Episode 8),,Apple iPhone XS,0:07:19,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, USPIS (Episode 8),TV Show,0.09777777777777777778,Brooklyn Nine-Nine
Michael,2022-01-07,0 years 0 mons 0 days 0 hours 3 mins 30.0 secs,,Brooklyn Nine-Nine: Season 2: Jake and Sophia (Episode 6),,Apple iPhone XS,0:06:19,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Jake and Sophia (Episode 6),TV Show,0.05833333333333333333,Brooklyn Nine-Nine
Michael,2022-01-06,0 years 0 mons 0 days 0 hours 1 mins 50.0 secs,,Brooklyn Nine-Nine: Season 2: Jake and Sophia (Episode 6),,Apple iPhone XS,0:02:09,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Jake and Sophia (Episode 6),TV Show,0.03055555555555555556,Brooklyn Nine-Nine
Michael,2022-01-06,0 years 0 mons 0 days 0 hours 0 mins 21.0 secs,,Brooklyn Nine-Nine: Season 2: Halloween II (Episode 4),,Apple iPhone XS,0:08:03,0:08:03,IL (Israel),Brooklyn Nine-Nine, Season 2, Halloween II (Episode 4),TV Show,0.00583333333333333333,Brooklyn Nine-Nine
Michael,2022-11-19,0 years 0 mons 0 days 0 hours 26 mins 53.0 secs,,Shrek 2,,Apple iPhone 13,0:27:23,Not latest view,IL (Israel),,,,Movie,0.44805555555555555556,Shrek 2
Michael,2022-01-06,0 years 0 mons 0 days 0 hours 7 mins 30.0 secs,,Brooklyn Nine-Nine: Season 2: Halloween II (Episode 4),,Apple iPhone XS,0:07:42,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Halloween II (Episode 4),TV Show,0.125,Brooklyn Nine-Nine
Michael,2022-01-06,0 years 0 mons 0 days 0 hours 5 mins 42.0 secs,,Brooklyn Nine-Nine: Season 2: The Jimmy Jab Games (Episode 3),,Apple iPhone XS,0:21:43,0:21:43,IL (Israel),Brooklyn Nine-Nine, Season 2, The Jimmy Jab Games (Episode 3),TV Show,0.095,Brooklyn Nine-Nine
Michael,2022-01-05,0 years 0 mons 0 days 0 hours 15 mins 26.0 secs,,Brooklyn Nine-Nine: Season 2: The Jimmy Jab Games (Episode 3),,Apple iPhone XS,0:16:01,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, The Jimmy Jab Games (Episode 3),TV Show,0.25722222222222222222,Brooklyn Nine-Nine
Michael,2022-01-05,0 years 0 mons 0 days 0 hours 0 mins 1.0 secs,,Brooklyn Nine-Nine: Season 2: Chocolate Milk (Episode 2),,Apple iPhone XS,0:21:12,0:21:12,IL (Israel),Brooklyn Nine-Nine, Season 2, Chocolate Milk (Episode 2),TV Show,0.00027777777777777778,Brooklyn Nine-Nine
Michael,2022-01-05,0 years 0 mons 0 days 0 hours 2 mins 9.0 secs,,Superstore: Season 1: Shoplifter (Episode 5),,Apple iPhone XS,0:13:59,0:13:59,IL (Israel),Superstore, Season 1, Shoplifter (Episode 5),TV Show,0.03583333333333333333,Superstore
ilona,2020-09-29,0 years 0 mons 0 days 0 hours 44 mins 27.0 secs,,Night School,,Safari MAC (Cadmium),0:43:21,Not latest view,IL (Israel),,,,Movie,0.74083333333333333333,Night School
Michael,2022-01-05,0 years 0 mons 0 days 0 hours 0 mins 1.0 secs,,Brooklyn Nine-Nine: Season 2: Chocolate Milk (Episode 2),,Apple iPhone XS,0:21:10,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Chocolate Milk (Episode 2),TV Show,0.00027777777777777778,Brooklyn Nine-Nine
ilona,2020-04-14,0 years 0 mons 0 days 0 hours 0 mins 13.0 secs,,Miracle in Cell No. 7,,Netflix Chrome MAC (Cadmium) HTML 5,0:00:01,0:00:01,IL (Israel),,,,Movie,0.00361111111111111111,Miracle in Cell No. 7
Michael,2022-01-03,0 years 0 mons 0 days 0 hours 18 mins 18.0 secs,,Brooklyn Nine-Nine: Season 2: Chocolate Milk (Episode 2),,Apple iPhone XS,0:21:09,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Chocolate Milk (Episode 2),TV Show,0.305,Brooklyn Nine-Nine
Michael,2021-12-31,0 years 0 mons 0 days 0 hours 2 mins 18.0 secs,,Brooklyn Nine-Nine: Season 2: Chocolate Milk (Episode 2),,Apple iPhone XS,0:02:31,Not latest view,IL (Israel),Brooklyn Nine-Nine, Season 2, Chocolate Milk (Episode 2),TV Show,0.03833333333333333333,Brooklyn Nine-Nine
Michael,2021-12-31,0 years 0 mons 0 days 0 hours 3 mins 24.0 secs,,Brooklyn Nine-Nine: Season 2: Undercover (Episode 1),,Apple iPhone XS,0:21:38,0:21:38,IL (Israel),Brooklyn Nine-Nine, Season 2, Undercover (Episode 1),TV Show,0.05666666666666666667,Brooklyn Nine-Nine
